portfolioid,investedvalue,portfoliofee,goalid,annualisedreturn
p001,407459,3585.64,g001,-3.01
p002,144401,1270.73,g002,7.0
p003,139120,1224.26,g003,9.58
p004,141786,1247.72,g004,-3.77
p005,91402,804.34,g005,3.21
p006,369549,3252.03,g006,-4.84
p007,250563,2204.95,g007,5.87
p008,374906,3299.17,g008,7.16
p009,408159,3591.8,g009,-3.33
p010,176264,1551.12,g010,9.19
p011,310920,2736.1,g011,12.02
p012,355742,3130.53,g012,-4.67
p013,125034,1100.3,g013,10.89
p014,171733,1511.25,g014,9.12
p015,291775,2567.62,g015,10.87
p016,384445,3383.12,g016,3.38
p017,183157,1611.78,g017,-4.07
p018,290947,2560.33,g018,1.71
p019,183864,1618.0,g019,11.27
p020,399616,3516.62,g020,-3.95
p021,54926,483.35,g021,-0.39
p022,293926,2586.55,g022,-2.95
p023,200801,1767.05,g023,9.97
p024,405263,3566.31,g024,-0.48
p025,336574,2961.85,g025,4.46
p026,132824,1168.85,g026,6.15
p027,88724,780.77,g027,14.42
p028,281593,2478.02,g028,8.75
p029,231175,2034.34,g029,-0.29
p030,358056,3150.89,g030,-4.66
p031,206842,1820.21,g031,5.81
p032,384987,3387.89,g032,1.68
p033,272460,2397.65,g033,13.45
p034,411923,3624.92,g034,-0.04
p035,181123,1593.88,g035,8.25
p036,289513,2547.71,g036,-4.54
p037,208398,1833.9,g037,2.21
p038,154447,1359.13,g038,-3.31
p039,251690,2214.87,g039,-2.15
p040,303340,2669.39,g040,1.7
p041,105917,932.07,g041,2.38
p042,174364,1534.4,g042,-0.64
p043,249944,2199.51,g043,1.48
p044,349852,3078.7,g044,-3.88
p045,238197,2096.13,g045,-4.06
p046,351366,3092.02,g046,-4.87
p047,205122,1805.07,g047,-0.22
p048,416623,3666.28,g048,10.99
p049,204785,1802.11,g049,-2.19
p050,61502,541.22,g050,2.35
p051,395101,3476.89,g051,8.29
p052,257516,2266.14,g052,0.25
p053,193906,1706.37,g053,9.28
p054,54245,477.36,g054,-3.25
p055,346709,3051.04,g055,2.95
p056,409556,3604.09,g056,0.74
p057,440420,3875.7,g057,-4.38
p058,75713,666.27,g058,11.88
p059,367931,3237.79,g059,11.07
p060,440684,3878.02,g060,2.02
p061,310428,2731.77,g061,-3.67
p062,200048,1760.42,g062,9.23
p063,170648,1501.7,g063,4.51
p064,368276,3240.83,g064,-4.41
p065,234717,2065.51,g065,-3.97
p066,164821,1450.42,g066,12.0
p067,383771,3377.18,g067,9.96
p068,149683,1317.21,g068,9.54
p069,375525,3304.62,g069,10.23
p070,181400,1596.32,g070,-0.5
p071,405343,3567.02,g071,-1.57
p072,446140,3926.03,g072,-4.07
p073,427974,3766.17,g073,-1.71
p074,395600,3481.28,g074,10.01
p075,406964,3581.28,g075,-0.11
p076,121711,1071.06,g076,0.15
p077,379382,3338.56,g077,7.27
p078,100941,888.28,g078,13.47
p079,378968,3334.92,g079,0.19
p080,388868,3422.04,g080,7.47
p081,70668,621.88,g081,0.66
p082,211969,1865.33,g082,8.79
p083,281118,2473.84,g083,11.37
p084,67492,593.93,g084,14.64
p085,353863,3113.99,g085,13.21
p086,241292,2123.37,g086,-4.46
p087,433967,3818.91,g087,3.44
p088,118897,1046.29,g088,-2.2
p089,97255,855.84,g089,2.88
p090,204722,1801.55,g090,9.05
p091,221294,1947.39,g091,8.06
p092,441895,3888.68,g092,14.01
p093,267843,2357.02,g093,7.29
p094,142085,1250.35,g094,0.24
p095,155274,1366.41,g095,7.18
p096,119289,1049.74,g096,-2.02
p097,332805,2928.68,g097,0.55
p098,241814,2127.96,g098,5.66
p099,328319,2889.21,g099,10.12
p100,313084,2755.14,g100,3.29
p101,192882,1697.36,g101,3.05
p102,136268,1199.16,g102,7.75
p103,184726,1625.59,g103,2.38
